City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,tolanaro,-25.0319,46.9987,19.04,82,75,4.12,MG,1719953713
216,salalah,17.0151,54.0924,29.05,89,100,3.6,OM,1719953714
217,senatobia,34.6176,-89.9687,35.25,53,3,0.89,US,1719953716
218,pisco,-13.7,-76.2167,17.03,82,100,3.6,PE,1719953717
219,yangiqo'rg'on,41.1906,71.7257,20.36,26,0,2.83,UZ,1719953718
220,pemangkat,1.1667,108.9667,25.79,87,100,3.04,ID,1719953719
221,puerto lempira,15.2667,-83.7667,29.08,70,75,6.17,HN,1719953720
222,faranah,10.0404,-10.7434,22.59,94,28,3.47,GN,1719953722
223,san andres,12.5847,-81.7006,28.01,89,20,3.6,CO,1719953723
224,puerto natales,-51.7236,-72.4875,3.25,56,75,8.75,CL,1719953726
225,rajec,49.089,18.6401,12.97,81,0,2.06,SK,1719953727
226,crane,31.3974,-102.3501,39.09,19,79,7.42,US,1719953728
227,huangzhou,30.45,114.8,22.38,91,1,3.2,CN,1719953729
228,lompoc,34.6391,-120.4579,25.47,63,0,6.69,US,1719953578
229,katsuura,35.1333,140.3,23.2,96,65,3.11,JP,1719953732
230,serenje,-13.2325,30.2352,12.67,57,4,2.27,ZM,1719953733
231,gamba,-2.65,10.0,21.28,92,83,3.14,GA,1719953650
232,korop,51.5664,32.9586,22.47,52,37,3.46,UA,1719953735
233,los banos,14.1667,121.1833,27.11,92,99,1.97,PH,1719953737
234,auki,-8.7676,160.7034,26.54,85,50,1.34,SB,1719953738
235,ghadamis,30.1337,9.5007,32.39,31,0,7.48,LY,1719953739
236,picota,-6.9197,-76.3304,31.27,55,41,1.19,PE,1719953740
237,mercedes,-34.6515,-59.4307,13.23,57,0,2.72,AR,1719953292
238,vorkuta,67.5,64.0,9.6,63,100,3.28,RU,1719953743
239,san patricio,28.017,-97.5169,35.4,46,70,6.35,US,1719953744
240,carnarvon,-24.8667,113.6333,16.65,53,0,9.13,AU,1719953745
241,quang ngai,15.1167,108.8,23.25,88,84,1.89,VN,1719953746
242,beau vallon,-20.4189,57.6953,21.13,68,20,5.14,MU,1719953747
243,udachny,66.4167,112.4,7.53,65,1,10.87,RU,1719953749
244,yashan,22.1975,109.9419,25.4,94,100,0.8,CN,1719953750
245,usinsk,65.9939,57.5281,12.11,83,100,7.95,RU,1719953751
246,mount airy,36.4993,-80.6073,29.89,41,0,4.12,US,1719953752
247,oravita,45.0325,21.6894,16.42,99,100,3.88,RO,1719953753
248,colonia,50.9333,6.95,15.87,88,40,1.03,DE,1719953755
249,santa terezinha,-29.9002,-50.0904,13.7,77,0,3.68,BR,1719953756
250,aripuana,-9.1667,-60.6333,32.26,35,12,0.83,BR,1719953758
251,xinyuan,37.3,99.0,5.44,88,100,1.2,CN,1719953759
252,talara,-4.5772,-81.2719,23.42,68,75,5.86,PE,1719953760
253,neijiang,29.5835,105.0622,21.85,95,100,5.04,CN,1719953762
254,tadine,-21.55,167.8833,23.25,75,40,1.43,NC,1719953763
255,itoman,26.1247,127.6694,29.21,91,20,3.6,JP,1719953764
256,augusto correa,-1.0217,-46.635,26.12,83,99,2.42,BR,1719953765
257,karratha,-20.7377,116.8463,20.24,56,0,8.5,AU,1719953767
258,lugazi,0.3772,32.9197,18.42,74,90,1.17,UG,1719953768
259,talnakh,69.4865,88.3972,7.41,69,96,3.75,RU,1719953769
260,akcaabat,41.0212,39.5715,23.93,73,75,1.03,TR,1719953770
